URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,Oporto - Hồ Tùng Mậu,"Số 63 Hồ Tùng Mậu, P. Bến Nghé, Q. 1",Gọi món Âu (phong cách Bồ Đào Nha),100.000 - 300.000,09h30 – 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,"Họp nhóm, hẹn hò, gia đình, đồng nghiệp...","Gà nướng lửa hồng, Bondi Burger, Bánh Pita, Cơm trộn gà nướng...","Hiện đại, trẻ trung", 70 khách,"Oporto - thương hiệu nổi tiếng toàn cầu, là nhà hàng chuyên phục vụ các món Gà nướng kiểu Bồ Đào Nha cùng rất nhiều món ăn nhanh đặc trưng khác.",,,,,,,,,106.703706,10.771723,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,Chỗ để xe ô tô,Gửi xe tại bãi giữ xe công cộng khu vực xung quanh nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ HAI,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ BA,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ TƯ,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ NĂM,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ SÁU,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,THỨ BẢY,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,CHỦ NHẬT,09:30,23:00,,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-1-normal-1387921244830.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-2-normal-1387921344831.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-3-normal-1387921444832.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-4-normal-1387921944833.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-5-normal-1387922544834.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-6-normal-1387922644835.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-7-normal-1387923244836.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-8-normal-1387924444839.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-9-normal-1387924644840.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-10-normal-1387924844841.webp,,,
https://pasgo.vn/nha-hang/oporto-ho-tung-mau-3923,,,,,,,,,,,,,,,,,,,,nha-hang-oporto-ho-tung-mau-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-oporto-ho-tung-mau-11-normal-1387925044842.webp,,,
